"date","permit_number","permit_type","status","address","short_notes",
"10/04/2024","NSF24-0098","New Single Family","In Review","20 S CHEROKEE ST, KANSAS CITY KS 66103",,
"10/04/2024","GRD24-0118","Grading-Excavation","Fees Not Required","914 ARGENTINE BLVD, KANSAS CITY KS 66105",,
"10/04/2024","NSF24-0097","New Single Family","In Review","914 ARGENTINE BLVD, KANSAS CITY KS 66105",,
"10/04/2024","RES24-0534","Residential","In Review","11530 PARKVIEW AVE, KANSAS CITY KS 66109",,
"10/04/2024","GRD24-0117","Grading-Excavation","Issued","2530 BAYARD AVE, KANSAS CITY KS 66105",,
"10/04/2024","MEC24-0447","Mechanical Permit","Plans Not Required","2960 N 34TH ST, KANSAS CITY KS 66104",,
"10/04/2024","ELE24-1044","Electrical Permit","Issued","10500 PARALLEL PKWY, KANSAS CITY KS 66109",,
"10/04/2024","SRE24-0209","Safe to Restore Electric","Open","1332 S 27TH ST, KANSAS CITY KS 66106",,
"10/04/2024","SRE24-0208","Safe to Restore Electric","Open","4544 WELBORN LN, KANSAS CITY KS 66104",,
"10/03/2024","MEC24-0446","Mechanical Permit","Plans Not Required","3510 N 99TH ST, KANSAS CITY KS 66109",,
"10/03/2024","ELE24-1043","Electrical Permit","Issued","6036 SPEAKER RD, KANSAS CITY KS 66111",,
"10/03/2024","PLM24-0818","Plumbing Permit","Issued","6036 SPEAKER RD, KANSAS CITY KS 66111",,
"10/03/2024","MEC24-0445","Mechanical Permit","Plans Not Required","6036 SPEAKER RD, KANSAS CITY KS 66111",,
"10/03/2024","RES24-0533","Residential","In Review","26 S VALLEY ST, KANSAS CITY KS 66102",,
"10/03/2024","ELE24-1042","Electrical Permit","Issued","901 ORVILLE AVE, KANSAS CITY KS 66101",,
"10/03/2024","RES24-0532","Residential","Issued","5524 MIAMI AVE, KANSAS CITY KS 66106",,
"10/03/2024","MEC24-0444","Mechanical Permit","Issued","2800 LAFAYETTE AVE, KANSAS CITY KS 66104",,
"10/03/2024","GRD24-0116","Grading-Excavation","Fees Not Required","722 N 62ND PL, KANSAS CITY KS 66102",,
"10/03/2024","ELE24-1041","Electrical Permit","Issued","2800 LAFAYETTE AVE, KANSAS CITY KS 66104",,
"10/03/2024","GRD24-0115","Grading-Excavation","Fees Not Required","631 N 62ND ST, KANSAS CITY KS 66102",,
"10/03/2024","PLM24-0817","Plumbing Permit","Issued","2800 LAFAYETTE AVE, KANSAS CITY KS 66104",,
"10/03/2024","GRD24-0114","Grading-Excavation","Fees Not Required","622 N 62ND ST, KANSAS CITY KS 66102",,
"10/03/2024","BSR24-0152","Stop Work Order","Pending","2059 SPRINGFIELD BLVD, KANSAS CITY KS 66101",,
"10/03/2024","UDEMO24-0030","UG Demolition","Title Search Requested","903 ELLA AVE, KANSAS CITY KS 66101",,
"10/03/2024","OCC24-0100","Business Occupancy","Not Approved","6607 PARALLEL PKWY, KANSAS CITY KS 66102",,
"10/03/2024","UDEMO24-0029","UG Demolition","Title Search Requested","1936 N 3RD ST, KANSAS CITY KS 66101",,
"10/03/2024","GAS24-0055","Gas Permit","Issued","1831 WALKER AVE, KANSAS CITY KS 66104",,
"10/03/2024","RES24-0531","Residential","Plan Approved as Noted","1735 CLEVELAND AVE, KANSAS CITY KS 66104",,
"10/03/2024","ELE24-1040","Electrical Permit","Issued","6611 ROWLAND AVE, KANSAS CITY KS 66104",,
"10/03/2024","ELE24-1039","Electrical Permit","Issued","3217 BARBER AVE, KANSAS CITY KS 66106",,
"10/03/2024","PLM24-0816","Plumbing Permit","Issued","2555 ESPENLAUB LN, KANSAS CITY KS 66106",,
"10/03/2024","PLM24-0815","Plumbing Permit","Issued","10500 PARALLEL PKWY, KANSAS CITY KS 66109",,
"10/03/2024","ELE24-1038","Electrical Permit","Issued","4812 DOUGLAS AVE, KANSAS CITY KS 66106",,
"10/03/2024","PLM24-0814","Plumbing Permit","Issued","3510 N 99TH ST, KANSAS CITY KS 66109",,
"10/03/2024","GRD24-0113","Grading-Excavation","Issued","4403 N 42ND ST, KANSAS CITY KS 66104","LDP",
"10/03/2024","SRE24-0207","Safe to Restore Electric","Open","301 N 70TH TER, APT 121, KANSAS CITY KS 66112",,
"10/03/2024","SRE24-0206","Safe to Restore Electric","Open","3304 STRONG AVE, KANSAS CITY KS 66106",,
"10/02/2024","RES24-0530","Residential","In Review","11822 DELAVAN AVE, KANSAS CITY KS 66109",,
"10/02/2024","RES24-0529","Residential","Plan Approved","4301 VICTORY DR, KANSAS CITY KS 66102",,
"10/02/2024","RES24-0528","Residential","In Review","1816 S 15TH ST, KANSAS CITY KS 66103",,
"10/02/2024","RES24-0527","Residential","Plan Approved as Noted","2808 N 44TH ST, KANSAS CITY KS 66104",,
"10/02/2024","PLM24-0813","Plumbing Permit","Issued","5560 FARROW AVE, KANSAS CITY KS 66104",,
"10/02/2024","ROOF24-0096","Re-Roof","Issued","2520 W 43RD AVE, KANSAS CITY KS 66103",,
"10/02/2024","RES24-0526","Residential","Issued","3118 HASKELL AVE, KANSAS CITY KS 66104",,
"10/02/2024","MEC24-0443","Mechanical Permit","Issued","1346 GREELEY AVE, KANSAS CITY KS 66104",,
"10/02/2024","ELE24-1037","Electrical Permit","Issued","1346 GREELEY AVE, KANSAS CITY KS 66104",,
"10/02/2024","PLM24-0812","Plumbing Permit","Issued","1346 GREELEY AVE, KANSAS CITY KS 66104",,
"10/02/2024","ELE24-1036","Electrical Permit","Inspections Completed","2908 DOUGLAS AVE, KANSAS CITY KS 66106",,
"10/02/2024","PLM24-0811","Plumbing Permit","Issued","3037 WASHINGTON AVE, KANSAS CITY KS 66102",,
"10/02/2024","PLM24-0810","Plumbing Permit","Issued","625 S 71ST TER, KANSAS CITY KS 66111",,
"10/02/2024","RES24-0525","Residential","Inspections Completed","1541 N 60TH ST, KANSAS CITY KS 66102",,
"10/02/2024","GAS24-0054","Gas Permit","Issued","1541 N 60TH ST, KANSAS CITY KS 66102",,
"10/02/2024","ELE24-1035","Electrical Permit","Issued","6409 CERNECH RD, KANSAS CITY KS 66104",,
"10/02/2024","ELE24-1034","Electrical Permit","Issued","2121 N 33RD ST, KANSAS CITY KS 66104",,
"10/02/2024","ROOF24-0095","Re-Roof","Issued","4824 N 107TH ST, KANSAS CITY KS 66109",,
"10/02/2024","RES24-0524","Residential","Revise and Re-Submit","2451 S 47TH ST, KANSAS CITY KS 66106",,
"10/02/2024","SRE24-0205","Safe to Restore Electric","Not Approved","5328 NOGARD AVE, KANSAS CITY KS 66104",,
"10/02/2024","SRE24-0204","Safe to Restore Electric","Not Approved","1811 WOOD AVE, KANSAS CITY KS 66104",,
"10/01/2024","PDEMO24-0034","Private Demolition","Issued","6501 STATE AVE, KANSAS CITY KS 66102",,
"10/01/2024","MEC24-0442","Mechanical Permit","Issued","844 CENTRAL AVE, KANSAS CITY KS 66101",,
"10/01/2024","ROOF24-0094","Re-Roof","Issued","4733 MELODY LN, KANSAS CITY KS 66106",,
"10/01/2024","MEC24-0441","Mechanical Permit","Issued","1854 ARMSTRONG AVE, KANSAS CITY KS 66102",,
"10/01/2024","MEC24-0440","Mechanical Permit","Issued","6149 NOGARD AVE, KANSAS CITY KS 66104",,
"10/01/2024","RES24-0523","Residential","Issued","3328 N 73RD DR, KANSAS CITY KS 66109",,
"10/01/2024","PLM24-0809","Plumbing Permit","Issued","2560 CISSNA ST, KANSAS CITY KS 66104",,
"10/01/2024","PLM24-0808","Plumbing Permit","Issued","217 N 21ST ST, KANSAS CITY KS 66102",,
"10/01/2024","RES24-0522","Residential","Revise and Re-Submit","612 OHIO AVE, KANSAS CITY KS 66101",,
"10/01/2024","UDEMO24-0028","UG Demolition","Title Search Requested","4331 GEORGIA AVE, KANSAS CITY KS 66104",,
"10/01/2024","ELE24-1033","Electrical Permit","Issued","4460 SPRINGFIELD ST, KANSAS CITY KS 66103",,
"10/01/2024","SRE24-0203","Safe to Restore Electric","Not Approved","1602 N 7TH ST, KANSAS CITY KS 66101",,
"09/30/2024","PLM24-0807","Plumbing Permit","Issued","2033 N TREMONT ST, KANSAS CITY KS 66101",,
"09/30/2024","MEC24-0439","Mechanical Permit","Issued","3334 N 55TH ST, KANSAS CITY KS 66104",,
"09/30/2024","COM24-0072","Commercial","Open","412 N 5TH ST, KANSAS CITY KS 66101",,
"09/30/2024","COM24-0071","Commercial","Fees Paid","930 OSAGE AVE, KANSAS CITY KS 66105",,
"09/30/2024","OCC24-0099","Business Occupancy","Open","5615 WOLCOTT DR, KANSAS CITY KS 66109",,
"09/30/2024","SPK24-0025","Fire Suppression","In Review","4000 CAMBRIDGE ST, KANSAS CITY KS 66103",,
"09/30/2024","ELE24-1032","Electrical Permit","Issued","1932 N 46TH ST, KANSAS CITY KS 66102",,
"09/30/2024","PLM24-0806","Plumbing Permit","Issued","853 S 74TH PL, KANSAS CITY KS 66111",,
"09/30/2024","PLM24-0805","Plumbing Permit","Issued","957 S 73RD ST, KANSAS CITY KS 66111",,
"09/30/2024","PLM24-0804","Plumbing Permit","Issued","960 S 74TH PL, KANSAS CITY KS 66111",,
"09/30/2024","PLM24-0803","Plumbing Permit","Issued","968 S 73RD ST, KANSAS CITY KS 66111",,
"09/30/2024","PLM24-0802","Plumbing Permit","Issued","957 S 74TH PL, KANSAS CITY KS 66111",,
"09/30/2024","PLM24-0801","Plumbing Permit","Issued","7302 PITKIN AVE, KANSAS CITY KS 66111",,
"09/30/2024","RES24-0521","Residential","Issued","621 N 17TH ST, KANSAS CITY KS 66102",,
"09/30/2024","COM24-0070","Commercial","Fees Paid","305 SUNSHINE RD, KANSAS CITY KS 66115",,
"09/30/2024","GAS24-0053","Gas Permit","Issued","7630 EVERETT AVE, KANSAS CITY KS 66112",,
"09/30/2024","ROOF24-0093","Re-Roof","Issued","2720 S 74TH ST, KANSAS CITY KS 66106",,
"09/30/2024","RES24-0520","Residential","Issued","3510 N 99TH ST, KANSAS CITY KS 66109",,
"09/30/2024","ELE24-1031","Electrical Permit","Issued","3510 N 99TH ST, KANSAS CITY KS 66109",,
"09/30/2024","COM24-0069","Commercial","Fees Paid","1711 N 73RD TER, KANSAS CITY KS 66112",,
"09/30/2024","RES24-0519","Residential","Incomplete Application","8526 SPRING AVE, KANSAS CITY KS 66109",,
"09/27/2024","COM24-0068","Commercial","Fees Paid","301 N 70TH TER, KANSAS CITY KS 66112",,
"09/27/2024","ELE24-1030","Electrical Permit","Issued","1201 CENTRAL AVE, KANSAS CITY KS 66102",,
"09/27/2024","PLM24-0800","Plumbing Permit","Issued","843 MINNESOTA AVE, KANSAS CITY KS 66101",,
"09/27/2024","ELE24-1029","Electrical Permit","Issued","7238 PARKVIEW AVE, KANSAS CITY KS 66109",,
"09/27/2024","RES24-0518","Residential","Issued","1109 N 19TH ST, KANSAS CITY KS 66102",,
"09/27/2024","PLM24-0799","Plumbing Permit","Issued","3213 DELAVAN AVE, KANSAS CITY KS 66104",,
"09/27/2024","ELE24-1028","Electrical Permit","Issued","828 N 61ST ST, KANSAS CITY KS 66102",,
"09/27/2024","GAS24-0052","Gas Permit","Issued","1422 NEW JERSEY AVE, KANSAS CITY KS 66102",,
"09/27/2024","RES24-0517","Residential","Issued","2049 N TREMONT ST, KANSAS CITY KS 66101",,
"09/27/2024","MEC24-0438","Mechanical Permit","Issued","2922 N 48TH TER, KANSAS CITY KS 66104",,
"09/27/2024","PLM24-0798","Plumbing Permit","Issued","2920 DELAVAN AVE, KANSAS CITY KS 66104",,
"09/27/2024","RES24-0516","Residential","Plan Approved as Noted","3319 WEBSTER AVE, KANSAS CITY KS 66104",,
"09/27/2024","MEC24-0437","Mechanical Permit","Issued","3841 N 74TH ST, KANSAS CITY KS 66109",,
"09/27/2024","UDEMO24-0027","UG Demolition","Orders Not Needed Auth Given","822 BARNETT AVE, KANSAS CITY KS 66101",,
"09/27/2024","MEC24-0436","Mechanical Permit","Issued","2127 N 83RD PL, KANSAS CITY KS 66109",,
"09/27/2024","RES24-0515","Residential","In Review","3556 N 56TH TER, KANSAS CITY KS 66104",,
"09/27/2024","RES24-0514","Residential","Issued","2903 DOUGLAS AVE, KANSAS CITY KS 66106",,
"09/27/2024","ELE24-1027","Electrical Permit","Issued","2841 N 73RD PL, KANSAS CITY KS 66109",,
"09/27/2024","RES24-0513","Residential","Revise and Re-Submit","4331 GEORGIA AVE, KANSAS CITY KS 66104",,
"09/27/2024","PLM24-0797","Plumbing Permit","Issued","1630 S VALLEY ST, KANSAS CITY KS 66103",,
"09/26/2024","ROOF24-0092","Re-Roof","Open","1315 N 63RD TER, KANSAS CITY KS 66102",,
"09/26/2024","ROOF24-0091","Re-Roof","Open","916 KANSAS AVE, KANSAS CITY KS 66105",,
"09/26/2024","ELE24-1026","Electrical Permit","Issued","853 S 74TH PL, KANSAS CITY KS 66111",,
"09/26/2024","ELE24-1025","Electrical Permit","Issued","957 S 74TH PL, KANSAS CITY KS 66111",,
"09/26/2024","ELE24-1024","Electrical Permit","Issued","960 S 74TH PL, KANSAS CITY KS 66111",,
"09/26/2024","ELE24-1023","Electrical Permit","Issued","968 S 73RD ST, KANSAS CITY KS 66111",,
"09/26/2024","ELE24-1022","Electrical Permit","Issued","7302 PITKIN AVE, KANSAS CITY KS 66111",,
"09/26/2024","ELE24-1021","Electrical Permit","Issued","957 S 73RD ST, KANSAS CITY KS 66111",,
"09/26/2024","ELE24-1020","Electrical Permit","Issued","2033 N TREMONT ST, KANSAS CITY KS 66101",,
"09/26/2024","RES24-0512","Residential","Issued","2906 DOUGLAS AVE, KANSAS CITY KS 66106",,
"09/26/2024","ROOF24-0090","Re-Roof","Issued","7110 RIVERVIEW AVE, KANSAS CITY KS 66112",,
"09/26/2024","ELE24-1019","Electrical Permit","Issued","3043 SUNTREE PLZ, APT 809, KANSAS CITY KS 66103",,
"09/26/2024","OCC24-0098","Business Occupancy","Not Approved","1936 N 5TH ST, KANSAS CITY KS 66101",,
"09/26/2024","ELE24-1018","Electrical Permit","Issued","6140 LONGWOOD AVE, KANSAS CITY KS 66104",,
"09/26/2024","PLM24-0796","Plumbing Permit","Issued","2420 LAFAYETTE AVE, KANSAS CITY KS 66104",,
"09/26/2024","RES24-0511","Residential","Revise and Re-Submit","58 S VALLEY ST, KANSAS CITY KS 66102",,
"09/26/2024","RES24-0510","Residential","Issued","6914 LEAVENWORTH RD, KANSAS CITY KS 66109",,
"09/26/2024","RES24-0509","Residential","Issued","136 S 14TH ST, KANSAS CITY KS 66102",,
"09/26/2024","MEC24-0435","Mechanical Permit","Inspections Completed","4321 CAMBRIDGE ST, KANSAS CITY KS 66103",,
"09/26/2024","PLM24-0795","Plumbing Permit","Issued","11 S 59TH LN, KANSAS CITY KS 66102",,
"09/26/2024","SRE24-0202","Safe to Restore Electric","Not Approved","837 S BALTIMORE ST, KANSAS CITY KS 66105",,
"09/25/2024","RES24-0508","Residential","In Review","3918 OLIVER ST, KANSAS CITY KS 66106",,
"09/25/2024","BSR24-0151","Stop Work Order","Pending","26 S VALLEY ST, KANSAS CITY KS 66102",,
"09/25/2024","RES24-0507","Residential","Issued","1806 N 51ST TER, KANSAS CITY KS 66102",,
"09/25/2024","RES24-0506","Residential","Issued","5021 YECKER AVE, KANSAS CITY KS 66104",,
"09/25/2024","OCC24-0097","Business Occupancy","Not Approved","1401 MERRIAM LN, KANSAS CITY KS 66103",,
"09/25/2024","OCC24-0096","Business Occupancy","Open","1809 N 7TH ST, KANSAS CITY KS 66101",,
"09/25/2024","PLM24-0794","Plumbing Permit","Issued","8301 EVERETT AVE, KANSAS CITY KS 66112",,
"09/25/2024","ELE24-1017","Electrical Permit","Issued","2036 N 1ST ST, KANSAS CITY KS 66101",,
"09/25/2024","MEC24-0434","Mechanical Permit","Issued","2036 N 1ST ST, KANSAS CITY KS 66101",,
"09/25/2024","PLM24-0793","Plumbing Permit","Issued","2036 N 1ST ST, KANSAS CITY KS 66101",,
"09/25/2024","ELE24-1016","Electrical Permit","Issued","6409 CERNECH RD, KANSAS CITY KS 66104",,
"09/25/2024","ELE24-1015","Electrical Permit","Issued","5531 OLIVER ST, KANSAS CITY KS 66106",,
"09/25/2024","BSR24-0150","Stop Work Order","Pending","819 N 9TH ST, KANSAS CITY KS 66101",,
"09/25/2024","ELE24-1014","Electrical Permit","Issued","1630 S VALLEY ST, KANSAS CITY KS 66103",,
"09/25/2024","RES24-0505","Residential","Revise and Re-Submit","1915 S 16TH ST, KANSAS CITY KS 66103",,
"09/25/2024","MEC24-0433","Mechanical Permit","Plans Not Required","2059 N 27TH ST, KANSAS CITY KS 66104",,
"09/25/2024","BSR24-0149","Stop Work Order","Open","2401 CENTRAL AVE, KANSAS CITY KS 66102",,
"09/25/2024","ELE24-1013","Electrical Permit","Issued","1208 RIVERVIEW AVE, KANSAS CITY KS 66102",,
"09/25/2024","MEC24-0432","Mechanical Permit","Plans Not Required","236 S 11TH ST, KANSAS CITY KS 66102",,
"09/25/2024","BSR24-0148","Stop Work Order","Open","2425 S 12TH TER, KANSAS CITY KS 66103",,
"09/25/2024","RES24-0504","Residential","Plan Approved","2821 WOODEND AVE, KANSAS CITY KS 66106",,
"09/25/2024","PLM24-0792","Plumbing Permit","Issued","1109 TENNY AVE, KANSAS CITY KS 66102",,
"09/25/2024","SRE24-0201","Safe to Restore Electric","Not Approved","2420 LAFAYETTE AVE, KANSAS CITY KS 66104",,
"09/24/2024","NSF24-0096","New Single Family","Revise and Resubmit","722 N 62ND PL, KANSAS CITY KS 66102",,
"09/24/2024","NSF24-0095","New Single Family","Revise and Resubmit","631 N 62ND ST, KANSAS CITY KS 66102",,
"09/24/2024","NSF24-0094","New Single Family","Revise and Resubmit","622 N 62ND ST, KANSAS CITY KS 66102",,
"09/24/2024","ELE24-1012","Electrical Permit","Issued","7624 ROSWELL AVE, KANSAS CITY KS 66109",,
"09/24/2024","COM24-0067","Commercial","Fees Paid","7512 LEAVENWORTH RD, KANSAS CITY KS 66109",,
"09/24/2024","MEC24-0431","Mechanical Permit","Issued","2119 S 35TH ST, KANSAS CITY KS 66106",,
"09/24/2024","ELE24-1011","Electrical Permit","Issued","2119 S 35TH ST, KANSAS CITY KS 66106",,
"09/24/2024","PLM24-0791","Plumbing Permit","Issued","2119 S 35TH ST, KANSAS CITY KS 66106",,
"09/24/2024","PLM24-0790","Plumbing Permit","Issued","2310 CENTRAL AVE, KANSAS CITY KS 66102",,
"09/24/2024","PDEMO24-0033","Private Demolition","Issued","5105 N 107TH ST, KANSAS CITY KS 66109",,
"09/24/2024","PLM24-0789","Plumbing Permit","Issued","37 N 77TH ST, KANSAS CITY KS 66111",,
"09/24/2024","ELE24-1010","Electrical Permit","Issued","8021 BARNETT AVE, KANSAS CITY KS 66112",,
"09/23/2024","ELE24-1009","Electrical Permit","Issued","1325 N 94TH ST, KANSAS CITY KS 66112",,
"09/23/2024","MEC24-0430","Mechanical Permit","Issued","6100 LEAVENWORTH RD, KANSAS CITY KS 66104",,
"09/23/2024","MEC24-0429","Mechanical Permit","Issued","2314 W 39TH AVE, KANSAS CITY KS 66103",,
"09/23/2024","ROOF24-0089","Re-Roof","Issued","5619 PAWNEE DR, KANSAS CITY KS 66106",,
"09/23/2024","PLM24-0788","Plumbing Permit","Issued","1014 N 21ST PL, KANSAS CITY KS 66102",,
"09/23/2024","SPK24-0024","Fire Suppression","In Review","805 N 6TH ST, KANSAS CITY KS 66101",,
"09/23/2024","PLM24-0787","Plumbing Permit","Issued","605 LOWELL AVE, KANSAS CITY KS 66101",,
"09/23/2024","PLM24-0786","Plumbing Permit","Issued","2133 S 48TH TER, KANSAS CITY KS 66106",,
"09/23/2024","MEC24-0428","Mechanical Permit","Issued","217 N 21ST ST, KANSAS CITY KS 66102",,
"09/23/2024","PLM24-0785","Plumbing Permit","Issued","4838 LOCUST AVE, KANSAS CITY KS 66106",,
"09/23/2024","BSR24-0147","Stop Work Order","Pending","58 S VALLEY ST, KANSAS CITY KS 66102",,
"09/23/2024","PLM24-0784","Plumbing Permit","Issued","8000 TROUP AVE, KANSAS CITY KS 66112",,
"09/23/2024","PLM24-0783","Plumbing Permit","Issued","5908 METROPOLITAN AVE, KANSAS CITY KS 66106",,
"09/23/2024","PLM24-0782","Plumbing Permit","Issued","7114 GREELEY AVE, KANSAS CITY KS 66109",,
"09/23/2024","SRE24-0200","Safe to Restore Electric","Open","1037 LAFAYETTE AVE, KANSAS CITY KS 66104",,
"09/23/2024","SRE24-0199","Safe to Restore Electric","Open","1864 N 26TH ST, KANSAS CITY KS 66104",,
"09/23/2024","SRE24-0198","Safe to Restore Electric","Approved","2012 N 68TH ST, KANSAS CITY KS 66109",,
"09/20/2024","COM24-0066","Commercial","Fees Paid","3815 N 51ST ST, KANSAS CITY KS 66104",,
"09/20/2024","ELE24-1008","Electrical Permit","Issued","5100 YECKER AVE, KANSAS CITY KS 66104",,
"09/20/2024","RES24-0503","Residential","Revise and Re-Submit","3115 S 46TH ST, KANSAS CITY KS 66106",,
"09/20/2024","RES24-0502","Residential","Revise and Re-Submit","219 N 20TH ST, KANSAS CITY KS 66102",,
"09/20/2024","MEC24-0427","Mechanical Permit","Issued","1322 ROWLAND AVE, KANSAS CITY KS 66104",,
"09/20/2024","ELE24-1007","Electrical Permit","Issued","2145 S 37TH ST, KANSAS CITY KS 66106",,
"09/20/2024","ELE24-1006","Electrical Permit","Issued","2401 CENTRAL AVE, KANSAS CITY KS 66102",,
"09/20/2024","MEC24-0426","Mechanical Permit","Issued","215 N 31ST ST, KANSAS CITY KS 66102",,
"09/20/2024","PLM24-0781","Plumbing Permit","Inspections Completed","17 S 71ST TER, KANSAS CITY KS 66111",,
"09/20/2024","SRE24-0197","Safe to Restore Electric","Open","901 ORVILLE AVE, KANSAS CITY KS 66101",,
"09/19/2024","PLM24-0780","Plumbing Permit","Issued","100 NEW JERSEY AVE, KANSAS CITY KS 66101",,
"09/19/2024","PLM24-0779","Plumbing Permit","Issued","200 NEW JERSEY AVE, KANSAS CITY KS 66101",,
"09/19/2024","BSR24-0146","Stop Work Order","Pending","6332 FARROW AVE, KANSAS CITY KS 66104",,
"09/19/2024","PLM24-0778","Plumbing Permit","Issued","10128 NELSON LN, KANSAS CITY KS 66109",,
"09/19/2024","RES24-0501","Residential","Issued","2646 N 51ST ST, KANSAS CITY KS 66104",,
"09/19/2024","ELE24-1005","Electrical Permit","Issued","825 MINNESOTA AVE, KANSAS CITY KS 66101",,
"09/19/2024","MEC24-0425","Mechanical Permit","Issued","825 MINNESOTA AVE, KANSAS CITY KS 66101",,
"09/19/2024","PLM24-0777","Plumbing Permit","Issued","825 MINNESOTA AVE, KANSAS CITY KS 66101",,
"09/19/2024","ELE24-1004","Electrical Permit","Issued","4216 S THOMPSON ST, KANSAS CITY KS 66103",,
"09/19/2024","PLM24-0776","Plumbing Permit","Issued","1325 HASKELL AVE, KANSAS CITY KS 66104",,
"09/19/2024","PLM24-0775","Plumbing Permit","Issued","3233 ROWLAND AVE, KANSAS CITY KS 66104",,
"09/19/2024","COM24-0065","Commercial","Fees Paid","6222 DICKINSON DR, KANSAS CITY KS 66106",,
"09/19/2024","SRE24-0196","Safe to Restore Electric","Open","2636 N EARLY ST, KANSAS CITY KS 66101",,
"09/18/2024","PLM24-0774","Plumbing Permit","Issued","2212 NORMANDY LN, KANSAS CITY KS 66106",,
"09/18/2024","ELE24-1003","Electrical Permit","Issued","762 LOCUST AVE, KANSAS CITY KS 66103",,
"09/18/2024","RES24-0500","Residential","Revise and Re-Submit","2149 S 35TH ST, KANSAS CITY KS 66106",,
"09/18/2024","RES24-0499","Residential","Issued","4403 N 111TH ST, KANSAS CITY KS 66109",,
"09/18/2024","RES24-0498","Residential","Revise and Re-Submit","1524 N 61ST TER, KANSAS CITY KS 66102",,
"09/18/2024","PLM24-0773","Plumbing Permit","Issued","124 N 70TH TER, KANSAS CITY KS 66111",,
"09/18/2024","PLM24-0772","Plumbing Permit","Issued","3207 N 103RD TER, KANSAS CITY KS 66109",,
"09/18/2024","ELE24-1002","Electrical Permit","Inspections Completed","2711 N 77TH ST, KANSAS CITY KS",,
"09/18/2024","PLM24-0771","Plumbing Permit","Issued","933 WALKER AVE, KANSAS CITY KS 66101",,
"09/18/2024","ELE24-1001","Electrical Permit","Issued","1215 N 18TH ST, KANSAS CITY KS 66102",,
"09/18/2024","RES24-0497","Residential","Issued","9844 GEORGIA AVE, KANSAS CITY KS 66109",,
"09/18/2024","MEC24-0424","Mechanical Permit","Issued","1215 N 18TH ST, KANSAS CITY KS 66102",,
"09/18/2024","PLM24-0770","Plumbing Permit","Issued","1215 N 18TH ST, KANSAS CITY KS 66102",,
"09/18/2024","PLM24-0769","Plumbing Permit","Issued","1047 QUINDARO BLVD, KANSAS CITY KS 66104",,
"09/18/2024","MEC24-0423","Mechanical Permit","Issued","1047 QUINDARO BLVD, KANSAS CITY KS 66104",,
"09/18/2024","GRD24-0112","Grading-Excavation","Elec Approved","8909 GEORGIA AVE, KANSAS CITY KS 66109",,
"09/17/2024","MEC24-0422","Mechanical Permit","Issued","1915 W 43RD AVE, KANSAS CITY KS 66103",,
"09/17/2024","PLM24-0768","Plumbing Permit","Issued","2841 N 45TH TER, KANSAS CITY KS 66104",,
"09/17/2024","ELE24-1000","Electrical Permit","Issued","2841 N 45TH TER, KANSAS CITY KS 66104",,
"09/17/2024","MEC24-0421","Mechanical Permit","Issued","244 N MILL ST, KANSAS CITY KS 66101",,
